City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Alencon,FR,48.4333,0.0833,50.79,95,49,2.17,scattered clouds
262,Mana,GF,5.6592,-53.7767,76.6,93,100,7.76,moderate rain
263,Groton,US,41.3501,-72.0784,69.8,84,40,1.01,scattered clouds
264,Homer,US,59.6425,-151.5483,62.08,51,1,9.22,clear sky
265,Hambantota,LK,6.1241,81.1185,85.21,69,96,24.94,overcast clouds
266,Torbay,CA,47.6666,-52.7314,49.57,96,90,23.02,overcast clouds
267,Blackpool,GB,53.8167,-3.05,48.22,85,8,3.13,clear sky
268,Oxelosund,SE,58.6706,17.1015,44.98,93,75,9.78,light rain
269,Praya,CV,14.9215,-23.5087,70.34,78,20,16.11,few clouds
270,Sistranda,NO,63.7256,8.834,54.9,80,73,7.7,broken clouds
271,Iquitos,PE,-3.7481,-73.2472,73.44,94,75,0.0,broken clouds
272,Gillette,US,44.2911,-105.5022,44.24,93,1,8.01,clear sky
273,Manoel Urbano,BR,-8.8389,-69.2597,72.3,82,18,0.69,few clouds
274,Matamoros,MX,25.5333,-103.25,84.11,39,54,17.94,broken clouds
275,Sohag,EG,26.557,31.6948,84.07,21,0,8.99,clear sky
276,Tanout,NE,14.9709,8.8879,78.84,11,6,7.54,clear sky
277,Sar-E Pul,AF,35.8333,66.1667,74.46,19,3,5.01,clear sky
278,Vardo,NO,70.3705,31.1107,44.8,74,92,20.83,overcast clouds
279,Funtua,NG,11.5233,7.3081,75.97,65,74,11.03,broken clouds
280,Pacific Grove,US,36.6177,-121.9166,55.85,87,90,3.0,overcast clouds
281,Bathsheba,BB,13.2167,-59.5167,81.21,65,40,16.67,scattered clouds
282,Porto Walter,BR,-8.2686,-72.7439,71.38,91,51,0.54,broken clouds
283,Bourail,NC,-21.5667,165.4833,71.22,70,51,5.12,broken clouds
284,Fare,PF,-16.7,-151.0167,81.0,70,15,11.63,few clouds
285,Huarmey,PE,-10.0681,-78.1522,66.49,91,49,3.51,scattered clouds
286,Shingu,JP,33.7333,135.9833,70.92,98,100,6.13,moderate rain
287,Santa Cruz,BO,-17.8,-63.1667,69.26,94,75,6.24,broken clouds
288,Gusinoye Ozero,RU,51.1144,106.2614,58.69,29,5,14.85,clear sky
289,Quimper,FR,48.0,-4.1,52.38,93,90,0.0,overcast clouds
290,Ribeira Grande,PT,38.5167,-28.7,59.4,68,97,15.82,overcast clouds
